Date,COT_Open_Interest,COT_NonComm_Long,COT_NonComm_Short,COT_NetSpec
2020-02-18,1140854,443404,54601,388803
2020-02-25,1222538,437286,50894,386392
2020-03-03,1226461,411491,43173,368318
2020-03-10,1236887,377884,34302,343582
2020-03-17,1161072,314830,38517,276313
2020-03-24,1254370,338965,26203,312762
2020-03-31,992626,300142,31730,268412
2020-04-07,1053747,308039,32377,275662
2020-04-14,1142624,324629,34566,290063
2020-04-21,1067082,308178,31422,276756
2020-04-28,1023747,314091,28026,286065
2020-05-05,1009319,303829,28258,275571
2020-05-12,1013123,306235,37321,268914
2020-05-19,1086271,328535,44994,283541
2020-05-26,903115,306857,53213,253644
2020-06-02,874543,293337,56040,237297
2020-06-09,875907,284766,59413,225353
2020-06-16,910794,299684,57187,242497
2020-06-23,1004682,335264,59738,275526
2020-06-30,990185,355678,65306,290372
2020-07-07,1008422,366449,73204,293245
2020-07-14,1016765,358149,69220,288929
2020-07-21,1076205,365334,66619,298715
2020-07-28,1127029,351980,74380,277600
2020-08-04,1135911,360749,76066,284683
2020-08-11,1091080,334415,74696,259719
2020-08-18,1125064,332467,67399,265068
2020-08-25,1077350,315720,65623,250097
2020-09-01,1031272,326208,65489,260719
2020-09-08,1018960,329872,65683,264189
2020-09-15,1052825,343484,70105,273379
2020-09-22,1027946,316182,74339,241843
2020-09-29,911902,318439,74262,244177
2020-10-06,908492,323385,72994,250391
2020-10-13,905764,323584,85353,238231
2020-10-20,936622,335320,84464,250856
2020-10-27,886856,326472,80116,246356
2020-11-03,882150,321154,81056,240098
2020-11-10,873170,309798,79608,230190
2020-11-17,875225,318920,78123,240797
2020-11-24,751804,301253,80042,221211
2020-12-01,746427,307994,67508,240486
2020-12-01,32377,15096,13979,1117
2020-12-08,778040,326610,72333,254277
2020-12-15,773839,327152,72863,254289
2020-12-21,799618,338437,76115,262322
2020-12-29,747305,341623,77288,264335
2020-12-29,34210,15798,22384,-6586
2021-01-05,810238,358500,77829,280671
2021-01-12,754574,312665,73608,239057
2021-01-19,735630,305270,64899,240371
2021-01-26,700842,311942,60623,251319
2021-02-02,695241,308430,61591,246839
2021-02-09,689620,303811,62702,241109
2021-02-16,686558,292235,72266,219969
2021-02-23,632438,288037,71192,216845
2021-03-02,645514,259021,77096,181925
2021-03-09,676057,247600,80436,167164
2021-03-16,676965,251664,76613,175051
2021-03-23,684841,256838,88597,168241
2021-03-30,638136,256060,98499,157561
2021-04-06,633809,276945,89222,187723
2021-04-13,630094,269947,90112,179835
2021-04-20,657138,279947,95778,184169
2021-04-27,635455,275176,101690,173486
2021-05-04,638934,274993,100318,174675
2021-05-11,704587,292027,88096,203931
2021-05-18,751663,301372,86970,214402
2021-05-18,33854,10031,12915,-2884
2021-05-25,699958,306983,74028,232955
2021-06-01,683388,308131,73089,235042
2021-06-08,679113,309317,77218,232099
2021-06-15,661687,291112,80341,210771
2021-06-22,634981,256195,85028,171167
2021-06-29,608002,259729,92042,167687
2021-07-06,625552,281655,89604,192051
2021-07-13,659997,287452,85797,201655
